# Chapter 1. Numbers and linear algebra
Scalar|A scalar is one number. In this course, scalars are real numbers, which can lie anywhere on the number line.|x ∈ ℝ   means “x is a real number.”|A temperature reading is 24.5 °C. Its numerical value, 24.5, is a scalar.|One dial shows one number. Later, many dials will become a vector.|Which object is a scalar?|7.5 ~ (7.5, 2) ~ A table of 12 readings ~ A list of three temperatures|A scalar is a single number. A vector or matrix contains several scalar entries. The unit explains what a measured number means.
Variable|A variable is a symbol whose value can vary within a specified set. An equation states a relationship between values.|y = 2x + 1|If x = 3, then y = 2 × 3 + 1 = 7.|A labeled empty box can hold different numbers while the rule stays the same.|For y = 2x + 1, what is y when x = 4?|9 ~ 8 ~ 6 ~ 5|Substitute 4 for x: 2 × 4 + 1 = 9. The symbol changes its value; the rule does not change.
Function|A function assigns exactly one output to each allowed input. Its domain is the set of allowed inputs.|f: ℝ → ℝ,   f(x) = x²|f(3) = 9 and f(−3) = 9. Different inputs may share an output.|A machine follows one recipe for each input, even if two ingredients produce the same result.|Can a function map both 3 and −3 to 9?|Yes, each input still has exactly one output ~ No, outputs must all differ ~ Only if 9 is negative ~ Only if the function is linear|A function requires one output per input, not one input per output. The squaring function is many-to-one.
Units|A physical quantity is a numerical value multiplied by a unit. Only quantities with compatible dimensions can be added.|distance = speed × time|3 metres/second × 4 seconds = 12 metres. Seconds cancel.|Units are labels on measuring cups. Mixing litres with metres makes no meaningful total.|At 5 metres/second for 6 seconds, how far do you travel?|30 metres ~ 30 seconds ~ 11 metres ~ 1.2 metres|Multiply speed by duration. Units are part of the calculation, not decoration. A model must preserve them when reading or answering questions about data.
Vector|A vector in ℝⁿ is an ordered list of n real numbers. Each position is a coordinate or feature. Add or subtract vectors of the same length by combining matching coordinates.|x = (x₁, …, xₙ);   2x = (2x₁, …, 2xₙ)|If x = (2, 3), then 2x = (4, 6). Order matters: (2, 3) ≠ (3, 2).|A vector is a dashboard: each dial has its own fixed position.|If x = (2, 5), what is 3x?|(6, 15) ~ (5, 8) ~ 21 ~ (15, 6)|Scalar multiplication multiplies every coordinate. It does not add 3, collapse the list, or reverse its order.
Matrix|A matrix is a rectangular array of numbers with m rows and n columns. Entry Aᵢⱼ lies in row i, column j.|A ∈ ℝᵐˣⁿ;   A = [[1, 2, 3], [4, 5, 6]]|This 2 × 3 matrix has six entries. A₂₃ = 6. Each horizontal row has three entries.|A spreadsheet with numbered rows and columns is a matrix when its cells are numbers.|What is A₂₁ in A = [[1, 2], [3, 4]]?|3 ~ 2 ~ 1 ~ 4|The first subscript selects the row, the second selects the column. Row 2, column 1 contains 3.
Tensor|In machine learning, a tensor is an array of numbers organized along axes. A scalar has no axes, a vector one, and a matrix two. A stack of tables has three: table, row, and column. Its shape lists the length of each axis in that order.|shape = (tables, rows, columns); entries = tables × rows × columns\nTᵢⱼₖ selects table i, row j, column k (indices start at 1)|A stack of 2 tables, each with 3 rows and 4 columns, has shape (2, 3, 4): 3 axes and 2×3×4 = 24 entries. For a smaller stack with tables [[1,2],[3,4]] and [[5,6],[7,8]], T₂₁₂ = 6. Its shape is (2, 2, 2).|A book of number tables needs a page, row, and column to locate one number.|A tensor has tables [[1,2],[3,4]] and [[5,6],[7,8]]. Indices start at 1 and mean (table, row, column). What is T₂₂₁?|7 ~ 6 ~ 3 ~ 8|Select the second table, then its second row [7,8], then the first column: 7.
Summation|Summation adds a specified sequence of terms. The symbol Σ says which index varies and where it starts and ends.|Σᵢ₌₁ⁿ xᵢ = x₁ + x₂ + ⋯ + xₙ|For x = (2, 4, 6), Σᵢ₌₁³ xᵢ = 12. Their mean is 12/3 = 4.|Σ is an instruction to sweep the named numbers into one adding bucket.|What is Σᵢ₌₁³ i²?|14 ~ 6 ~ 9 ~ 36|Add 1² + 2² + 3² = 1 + 4 + 9 = 14. The index tells us which terms to use.
Dot product|The dot product of two equal-length vectors multiplies matching coordinates and adds the products.|x · w = Σᵢ xᵢwᵢ|With x = (2, 3) and w = (4, 5), x · w = 8 + 15 = 23.|A shopping bill multiplies each quantity by its price, then adds the costs.|What is (1, 4) · (3, 2)?|11 ~ 10 ~ (3, 8) ~ 24|The products are 3 and 8; their sum is 11. Keeping (3, 8) would be elementwise multiplication, not a dot product.
Matrix multiplication|For A of shape m × n and B of shape n × p, AB has shape m × p. Each entry is a row-column dot product.|(AB)ᵢⱼ = Σₖ₌₁ⁿ AᵢₖBₖⱼ|[[1, 2], [3, 4]] × [[5], [6]] = [[17], [39]]. First entry: 1×5 + 2×6 = 17. Second: 3×5 + 4×6 = 39.|Each row submits a shopping list to each column of prices.|A is 2 × 3 and B is 3 × 4. What shape is AB?|2 × 4 ~ 3 × 3 ~ 4 × 2 ~ 6 × 12|The inner dimensions, 3 and 3, must match. The outer dimensions form the result, 2 × 4. Matrix multiplication is generally order-dependent.
Transpose|The transpose of a matrix exchanges rows and columns. It changes an m × n matrix into an n × m matrix.|(Aᵀ)ᵢⱼ = Aⱼᵢ|If A = [[1, 2, 3]], then Aᵀ = [[1], [2], [3]].|Turn a row of books into a vertical stack without changing their order.|What is the transpose of a 2 × 5 matrix?|A 5 × 2 matrix ~ A 2 × 5 matrix with doubled entries ~ A 10 × 1 matrix ~ Its inverse|Transposing swaps the two axes. It does not change the values, flatten the matrix, or undo a transformation.
